"14eme","14éme"
"officière","officier"
"offre","offres"
"offshores","offshore"
"oignon","oignons"
"oil","oïl"
"olives","olive"
"olympiade","olympiades"
"olympiques","olympique"
"ombilical","ombilicaux"
"ombre","ombres"
"onc","once"
"oncologue","oncologues"
"onde","ondes"
"ondulés","ondulé"
"operatoires","opératoires"
"opercule","opercules"
"ophtalmiques","ophtalmique"
"oppositions","opposition"
"opticienne","opticien"
"optimisant","optimisation"
"optimiser","optimisation"
"optionnelles","optionnelle"
"opératrice","opérateur"
"orages","orage"
"orales","orale"
"orbitale","orbital"
"orbitales","orbital"
"orchestrer","orchestration"
"ordonnancements","ordonnancement"
"ordonnances","ordonnance"
"ordonner","ordonné"
"ordonnée","ordonné"
"organigrammes","organigramme"
"organisatrice","organisateur"
"organisee","organisée"
"organisée","organisé"
"organométalliques","organométallique"
"orientales","orientale"
"orientée","orienté"
"ornement","orner"
"ornemente","ornement"
"orphelinats","orphelinat"
"orthographique","orthographiques"
"oscillateurs","oscillateur"
"oscillation","oscillations"
"oscilloscopes","oscilloscope"
"oseo","oséo"
"osez","oser"
"osons","oser"
"ossatures","ossature"
"osseuses","osseuse"
"ouvrant","ouvrants"
"ouvreuse","ouvreur"
"ouvrière","ouvrier"
"ovin","ovins"
"ovine","ovin"
"oxydations","oxydation"
"oxyde","oxydes"
"packagings","packaging"
"pactes","pacte"
"paies","paie"
"paillasses","paillasse"
"palaces","palace"
"palan","palans"
"palefrenière","palefrenier"
"palets","palet"
"paliers","palier"
"palliant","pallier"
"palonnier","palonniers"
"panoplie","panoplies"
"pantheon","panthéon"
"pantographe","pantographes"
"pané","panés"
"papetier","papetière"
"paquebots","paquebot"
"parachutes","parachute"
"parachutiste","parachutistes"
"paradise","paradis"
"paraffines","paraffine"
"paramétriques","paramétrique"
"parascolaire","parascolaires"
"parasite","parasites"
"paratonnerres","paratonnerre"
"parcellaire","parcellaires"
"pare-brises","pare-brise"
"pare-feux","pare-feu"
"parements","parement"
"parentaux","parental"
"pares","pare"
"pareur","pareuse"
"parfumeur","parfumeurs"
"paritaires","paritaire"
"parlée","parlées"
"parlées","parlé"
"parlés","parlé"
"parpaing","parpaings"
"parquets","parquet"
"parrainages","parrainage"
"partageant","partager"
"participations","participation"
"participatives","participative"
"partitions","partition"
"parue","paru"
"parures","parure"
"parus","paru"
"parution","parutions"
"passations","passation"
"passionnée","passionné"
"pasteurisés","pasteurisé"
"patents","patent"
"pates","pâtés"
"pathogène","pathogènes"
"patin","patins"
"patineur","patineuse"
"patisserie","pâtisserie"
"patisseries","pâtisseries"
"patissier","pâtissier"
"patrimonial","patrimoniale"
"patronale","patronal"
"patronales","patronal"
"patronaux","patronal"
"pattern","patterns"
"pauses","pause"
"pavage","pavages"
"pavillons","pavillon"
"payes","paye"
"paysans","paysan"
"payé","payer"
"peche","pèche"
"pechiney","péchiney"
"peines","peine"
"peints","peint"
"pekin","pékin"
"pelican","pélican"
"pensions","pension"
"pepito","pépito"
"peptide","peptides"
"percussion","percussions"
"pere","père"
"perfusions","perfusion"
"perimetre","perimètre"
"perisse","périsse"
"permises","permise"
"perou","pérou"
"peroxydes","peroxyde"
"perpétuelle","perpétuel"
"perruquier","perruquière"
"persee","perse"
"persuade","persuadé"
"persuadé","persuadée"
"persévérante","persévérant"
"pertinent","pertinente"
"pertinente","pertinentes"
"perturbé","perturbés"
"perçus","perçu"
"petit-déjeuners","petit-déjeuner"
"petri","pétri"
"petrochimie","pétrochimie"
"peuple","peuples"
"peupliers","peuplier"
"pharmacienne","pharmacien"
"pharmacologique","pharmacologiques"
"pharmacopées","pharmacopée"
"phenix","phénix"
"phenotype","phénotype"
"phones","phone"
"phoniques","phonique"
"phosphates","phosphate"
"photocopie","photocopieur"
"photograveurs","photograveur"
"photomontages","photomontage"
"photoniques","photonique"
"photons","photon"
"photovoltaique","photovoltaïque"
"phréatique","phréatiques"
"physicienne","physicien"
"physiciens","physicien"
"pieu","pieux"
"pigeons","pigeon"
"piges","pige"
"pigiste","pigistes"
"pigmentaires","pigmentaire"
"pignon","pignons"
"piles","pile"
"pilotee","pilotée"
"piment","piments"
"pionnière","pionnier"
"piqueuse","piqueur"
"piston","pistons"
"pitchs","pitch"
"pixel","pixels"
"pizzaiolo","pizzaïolo"
"pizzas","pizza"
"pizzeria","pizzéria"
"piétonne","piéton"
"piétonnes","piétonne"
"placoplatre","placoplâtre"
"plafond","plafonds"
"plaidoiries","plaidoirie"
"planes","plane"
"planeurs","planeur"
"planifié","planifiés"
"plannings","planning"
"plans","plan"
"plantaires","plantaire"
"planteur","planteuse"
"plaqué","plaqués"
"plasticien","plasticienne"
"pleiade","pléiade"
"pleiades","pléiades"
"pleiades+comfie","pléiades+comfie"
"plieur","plieuse"
"plieuses","plieuse"
"plinthe","plinthes"
"plombière","plombier"
"plonger","plongé"
"plongeuse","plongeur"
"pluriannuel","pluriannuels"
"pluriannuelle","pluriannuels"
"pluridisciplinaire","pluridisciplinaires"
"plus-values","plus-value"
"pluvial","pluviales"
"pluviale","pluvial"
"plâtrière","plâtrier"
"pléiade","pléiades"
"pléiades","pleïades"
"plénière","plénières"
"pochette","pochettes"
"pointages","pointage"
"pointeur","pointeuse"
"pointue","pointues"
"poinçons","poinçon"
"poire","poires"
"poires","pois"
"poissonneries","poissonnerie"
"poissonnière","poissonnier"
"poivres","poivre"
"poka-yoke","poka-yoké"
"pol","pôl"
"polaires","polaire"
"polars","polar"
"policier","policiers"
"policière","policier"
"polisseur","polisseuse"
"politecnico","politécnico"
"polluant","polluants"
"polluante","polluantes"
"polluantes","polluants"
"pollué","polluées"
"polluée","polluées"
"polyamides","polyamide"
"polycultures","polyculture"
"polymère","polymères"
"polytechnicien","polytechniciens"
"polyuréthanes","polyuréthane"
"polyvalente","polyvalent"
"pomme","pommes"
"pompière","pompier"
"pondérales","pondérale"
"pondérations","pondération"
"pondérés","pondéré"
"ponton","pontons"
"porcelaines","porcelaine"
"porcelets","porcelet"
"porcine","porcin"
"porcines","porcin"
"porcins","porcin"
"portefeuilles","portefeuille"
"portion","portions"
"portière","portier"
"portraits","portrait"
"portugaise","portugais"
"portugaises","portugaise"
"poseuse","poseur"
"positionne","positionné"
"positionneurs","positionneur"
"positionnées","positionnée"
"posters","poster"
"postée","posté"
"postées","posté"
"postés","posté"
"posée","posé"
"posés","posé"
"pot","pots"
"potagers","potager"
"potentiomètre","potentiomètres"
"poubelle","poubelles"
"poulets","poulet"
"poulie","poulies"
"poursuivie","poursuivi"
"poussent","pousser"
"pousses","pousse"
"pousseurs","pousseur"
"poussière","poussières"
"poussoir","poussoirs"
"poutre","poutres"
"poutrelle","poutrelles"
"poésie","poésies"
"poêles","poêle"
"practice","practices"
"pragmatiques","pragmatique"
"prairies","prairie"
"pratiquée","pratiqué"
"pratiquées","pratiqué"
"precipitation","précipitation"
"precommissioning","précommissioning"
"prelude","prélude"
"prepa","prépa"
"preparatoire","préparatoire"
"preparatoires","préparatoires"
"prepares","préparés"
"presseuse","presseur"
"pressurisé","pressurisés"
"pressé","pressée"
"pressées","pressée"
"pressés","pressée"
"prestiges","prestige"
"preventif","préventif"
"prevision","prévision"
"prevoyance","prévoyance"
"primeur","primeurs"
"primée","primé"
"primés","primé"
"princess","princes"
"prisons","prison"
"privilégier","privilégiant"
"privilégiée","privilégié"
"privilégiées","privilégiée"
"proactif","proactive"
"probabilité","probabilités"
"probes","probe"
"problème","problèmes"
"proce","procé"
"procedes","procedés"
"procedés","procèdes"
"processeurs","processeur"
"procureure","procureur"
"procédurales","procédurale"
"productrice","producteur"
"professeure","professeur"
"profileur","profiler"
"profitables","profitable"
"profits","profit"
"programmatrice","programmateur"
"programmeuse","programmeur"
"progresse","progressé"
"projetée","projeté"
"prolongations","prolongation"
"promenades","promenade"
"promeo","proméo"
"promesse","promesses"
"promodes","promodès"
"promos","promo"
"propergols","propergol"
"propices","propice"
"proportionnelle","proportionnel"
"propositions","proposition"
"propulseurs","propulseur"
"prospecte","prospecté"
"prospectifs","prospectif"
"prospectrice","prospecteur"
"prospecté","prospectés"
"protecteur","protecteurs"
"proteines","protéinés"
"proteus","protéus"
"proteuse","proteus"
"prothèses","prothèse"
"protocolaire","protocolaires"
"protons","proton"
"protéine","protéines"
"protéiques","protéique"
"prouvée","prouvé"
"prouvées","prouvée"
"provençal","provençale"
"providers","provider"
"provincial","provinciale"
"proviseure","proviseur"
"provision","provisions"
"provisionnement","provisionner"
"prud'homme","prud'hommes"
"prune","prunes"
"précaution","précautions"
"précieuses","précieuse"
"prédictions","prédiction"
"prédictives","prédictive"
"préfabriqué","préfabriquées"
"préfabriquée","préfabriqué"
"préfectorales","préfectorale"
"préfectures","préfecture"
"préférentiel","préférentielle"
"préférentielle","préférentiels"
"préhenseur","préhenseurs"
"préjudice","préjudices"
"prénom","prénoms"
"préoccupation","préoccupations"
"préparatoires","préparatoire"
"préparatrice","préparateur"
"présentateurs","présentateur"
"présentatrice","présentateur"
"présidente","président"
"présidentiel","présidentielle"
"présidentielles","présidentielle"
"présélections","présélection"
"préventions","prévention"
"prévoyances","prévoyance"
"psychiques","psychique"
"psychologues","psychologue"
"publie","publié"
"publiés","publié"
"pubs","pub"
"pulmonaires","pulmonaire"
"pulpes","pulpe"
"pupitreuse","pupitreur"
"purifications","purification"
"purifié","purifiée"
"purée","purées"
"puzzles","puzzle"
"puéricultrices","puéricultrice"
"pyromètres","pyromètre"
"pâtisseries","pâtisserie"
"pâtissière","pâtissier"
"pâtés","pâté"
"pédaliers","pédalier"
"pédestres","pédestre"
"pédiatre","pédiatres"
"pédiatriques","pédiatrique"
"pénale","pénal"
"pénalité","pénalités"
"pénuries","pénurie"
"périodicités","périodicité"
"péruvienne","péruvien"
"péruviens","péruvien"
"pétrochimiques","pétrochimique"
"quadrant","quadrants"
"quantifiant","quantifier"
"quantiques","quantique"
"quincaillier","quincailliers"
"quitte","quitté"
"quitter","quitté"
"raccorde","raccord"
"raccordée","raccordé"
"raccordées","raccordée"
"raccordés","raccordé"
"rachats","rachat"
"rachetée","racheté"
"racine","racines"
"racks","rack"
"racleurs","racleur"
"rades","radès"
"radial","radiale"
"radiales","radiale"
"radiants","radiant"
"radiateur","radiateurs"
"radiaux","radial"
"radical","radicaux"
"radiers","radier"
"radiographique","radiographiques"
"radiologues","radiologue"
"radiophoniques","radiophonique"
"radés","radès"
"raffiné","raffinés"
"rafraichir","rafraîchir"
"rafraichissement","rafraîchissement"
"raideurs","raideur"
"raids","raid"
"railways","railway"
"raisins","raisin"
"rallyes","rallye"
"ramasseuse","ramasseur"
"ramener","ramené"
"randonne","randonneur"
"randonner","randonné"
"randonneur","randonné"
"randonnées","randonnée"
"raphael","raphaël"
"rapporteurs","rapporteur"
"rapportés","rapporté"
"rapprochements","rapprochement"
"rassurant","rassurer"
"rates","rate"
"rationalisant","rationaliser"
"rationalise","rationalisé"
"rationalisé","rationalisés"
"rationalisés","rationaliser"
"rats","rat"
"rattachée","rattaché"
"rattraper","rattrapage"
"rattrapé","rattraper"
"ravaleuse","ravaleur"
"ravie","ravi"
"rayonnants","rayonnant"
"rayonnée","rayonné"
"rayonnés","rayonné"
"re-engineering","ré-engineering"
"realise","realisé"
"rebond","rebonds"
"recalages","recalage"
"recentrer","recentrage"
"reception","récéption"
"receveur","receveuse"
"rechanges","rechange"
"rechargeable","rechargeables"
"recharges","recharge"
"reclassements","reclassement"
"recombinante","recombinant"
"recombinants","recombinant"
"recommandés","recommandé"
"reconciliation","réconciliation"
"recrutements","recrutement"
"recrutée","recrutées"
"rectorats","rectorat"
"recyclée","recyclées"
"reda","réda"
"redaction","rédaction"
"redevances","redevance"
"redondances","redondance"
"redondante","redondantes"
"redondantes","redondant"
"redondants","redondant"
"redresseurs","redresseur"
"redéfinissant","redéfinir"
"refinancements","refinancement"
"refléter","reflétant"
"reformer","reformeur"
"reformeur","reformage"
"reformulations","reformulation"
"refroidisseur","refroidisseurs"
"refs","réfs"
"reg","rég"
"regiment","régiment"
"regis","régis"
"rehausse","réhausse"
"relances","relance"
"relationnelles","relationnelle"
"releveurs","releveur"
"relevée","relevées"
"relie","relieur"
"religions","religion"
"relèvements","relèvement"
"remboursable","remboursables"
"remboursements","remboursement"
"remboursé","remboursés"
"remonté","remontée"
"remontés","remonté"
"remorqueurs","remorqueur"
"remparts","rempart"
"remplaçante","remplaçant"
"remplie","remplies"
"remportés","remporté"
"remède","remèdes"
"rencontrent","rencontrer"
"rene","rené"
"rennais","rennaise"
"renouvelable","renouvelables"
"renouvelée","renouvelé"
"renouvelées","renouvelée"
"renove","rénovés"
"rentables","rentable"
"rentre","rentré"
"renée","rené"
"renégociations","renégociation"
"reparties","réparties"
"repartis","répartis"
"repasser","repassage"
"repasseur","repasseuse"
"replication","réplication"
"reports","report"
"repositionner","repositionnement"
"repousser","repoussage"
"reprend","reprends"
"repreneurs","repreneur"
"reproductibles","reproductible"
"reptiles","reptile"
"republique","république"
"repéré","repérée"
"reso","réso"
"resonance","résonance"
"respect","respectés"
"respectant","respecter"
"respecte","respect"
"respectent","respecter"
"respectif","respectifs"
"respects","respect"
"respecté","respectés"
"respectée","respectées"
"respectées","respectés"
"responsabilisant","responsabiliser"
"responsabiliser","responsabilisation"
"restauratrice","restaurateur"
"restaurer","restauration"
"resto","restos"
"restructure","restructuré"
"restructuré","restructurer"
"retenu","retenus"
"retoucheur","retoucheuse"
"retourner","retournement"
"retourneur","retourne"
"retourné","retournés"
"retraites","retraite"
"retrouvée","retrouvé"
"reunies","réunies"
"revendication","revendications"
"reviseur","réviseur"
"revues","revue"
"revus","revu"
"revêtus","revêtu"
"rez","reze"
"rhabilleur","rhabilleuse"
"rhinoceros","rhinocéros"
"rhodanien","rhodanienne"
"rhums","rhum"
"rideau","rideaux"
"ries","riés"
"risers","riser"
"risque","risques"
"rituel","rituels"
"rivage","river"
"rivages","rivage"
"riverain","riverains"
"rives","rive"
"ro","rô"
"robe","robes"
"robinetteries","robinetterie"
"robustes","robuste"
"rollers","roller"
"romaine","romain"
"roman","romans"
"rompue","rompu"
"roque","roques"
"rosée","rosé"
"rotors","rotor"
"rotule","rotules"
"roulantes","roulante"
"roumains","roumain"
"router","routeur"
"routers","router"
"routeur","routeurs"
"roye","roy"
"ruches","ruche"
"ruines","ruine"
"ruptures","rupture"
"râtelier","râteliers"
"réactionnel","réactionnels"
"réactualisé","réactualiser"
"réalisatrice","réalisateur"
"réanimateurs","réanimateur"
"récapitulatifs","récapitulatif"
"récepteurs","récepteur"
"réceptive","réceptif"
"réchauffeur","réchauffeurs"
"récipient","récipients"
"récolté","récoltés"
"récompensant","récompensé"
"récompenser","récompensant"
"récompenses","récompense"
"récompensée","récompensé"
"récompensés","récompensé"
"réconciliations","réconciliation"
"réconcilier","réconciliation"
"récupérateurs","récupérateur"
"récupérée","récupérées"
"récurrences","récurrence"
"rédactionnel","rédactionnelle"
"rédactionnels","rédactionnel"
"rédactions","rédaction"
"rédactrice","rédacteur"
"réducteur","réducteurs"
"réductions","réduction"
"réduits","réduit"
"réexpédition","réexpéditions"
"réfectoires","réfectoire"
"réfléchie","réfléchi"
"réformes","réforme"
"réfrigérant","réfrigérants"
"réfrigérer","réfrigéré"
"réfrigéré","réfrigérants"
"réfrigérée","réfrigérés"
"réfugié","réfugiés"
"référés","référé"
"régate","régates"
"régiments","régiment"
"régions","région"
"régisseuse","régisseur"
"réglementée","réglementées"
"régleuse","régleur"
"régressions","régression"
"régularisations","régularisation"
"régulariser","régularisation"
"régulatrice","régulateur"
"régulée","régulé"
"régulées","régulée"
"réhabilité","réhabilités"
"réimplantations","réimplantation"
"rémunérations","rémunération"
"rémunérée","rémunéré"
"rémunérés","rémunéré"
"rénové","rénovés"
"réorganisations","réorganisation"
"réorganisée","réorganisé"
"réparatrice","réparateur"
"répartie","réparties"
"répartitrice","répartiteur"
"réponds","répond"
"réponses","réponse"
"républicain","républicaine"
"réputés","réputé"
"répétitrice","répétiteur"
"réquisition","réquisitions"
"réseaux","réseau"
"résidentielles","résidentielle"
"résidentiels","résidentiel"
"résiduelle","résiduelles"
"résiliations","résiliation"
"résistante","résistant"
"résistants","résistant"
"résister","résistant"
"résolu","résolus"
"résultante","résultantes"
"rétrocessions","rétrocession"
"rétroviseur","rétroviseurs"
"réutiliser","réutilisation"
"réversibles","réversible"
"révisé","révisés"
"rééducatrice","rééducateur"
"réévaluations","réévaluation"
"rêves","rêve"
"sablières","sablière"
"sabot","sabots"
"sachet","sachets"
"sacrée","sacré"
"saharien","saharienne"
"said","saïd"
"saida","saïda"
"saint-etienne","saint-étienne"
"saisi","saisie"
"saisies","saisie"
"salade","salades"
"salaire","salaires"
"salaisons","salaison"
"salariées","salariée"
"salee","salée"
"salome","salomé"
"salées","salée"
"sanguin","sanguine"
"sante","santé"
"saoudienne","saoudien"
"sapeurs","sapeur"
"sapeuse","sapeur"
"satisfactions","satisfaction"
"satisfaisante","satisfaisant"
"satisfaits","satisfait"
"sauce","sauces"
"saucisse","saucisses"
"saucisson","saucissons"
"saumons","saumon"
"saurais","saurai"
"sauts","saut"
"sauveteuse","sauveteur"
"savante","savantes"
"saveur","saveurs"
"savons","savon"
"sax","saxe"
"scandinave","scandinaves"
"scaphandrière","scaphandrier"
"schemaplic","schémaplic"
"schistes","schiste"
"schématiques","schématique"
"scieur","scieuse"
"scissions","scission"
"scouts","scout"
"sculptrice","sculpteur"
"seau","seaux"
"seche","séché"
"secouristes","secouriste"
"secteurs","secteur"
"securite","securité"
"sees","sées"
"segmenté","segmentée"
"segmentée","segmentés"
"seiche","seiches"
"selenium","sélénium"
"sellière","sellier"
"semestres","semestre"
"semestrielle","semestriel"
"semestriels","semestriel"
"semi-conducteur","semi-conducteurs"
"semi-public","semi-publics"
"semi-remorques","semi-remorque"
"seminaires","séminaires"
"senat","sénat"
"senior","sénior"
"seniors","séniors"
"senseur","senseurs"
"sensibilise","sensibilisé"
"sensibilisés","sensibilisé"
"sephora","séphora"
"sequoia","séquoia"
"serais","serai"
"serruriers","serrurier"
"serrurière","serrurier"
"serrée","serrées"
"serrés","serré"
"servomoteur","servomoteurs"
"sesam-vitale","sésam-vitale"
"sesame","sésame"
"sevres","sèvres"
"shampoings","shampoing"
"shifts","shift"
"shows","show"
"siderurgie","sidérurgie"
"sidérurgies","sidérurgie"
"sidérurgiques","sidérurgique"
"siege","siége"
"signalements","signalement"
"signé","signés"
"signée","signées"
"simulé","simulés"
"sincères","sincère"
"sinistre","sinistres"
"sirops","sirop"
"sites","site"
"situationnelle","situationnel"
"skier","skieur"
"skieur","skieurs"
"socioculturelle","socioculturel"
"sociologiques","sociologique"
"sociétal","sociétaux"
"socket","sockets"
"sodas","soda"
"sogea","sogéa"
"soigne","soigné"
"soigneuse","soigneur"
"soigné","soigner"
"soldat","soldats"
"soldes","solde"
"solidaires","solidaire"
"solidarités","solidarité"
"solubles","soluble"
"sommaires","sommaire"
"sommeliers","sommelier"
"sommelière","sommelier"
"sondeuse","sondeur"
"sonepar","sonépar"
"sortant","sortants"
"sortante","sortantes"
"souche","souches"
"soucieuses","soucieuse"
"soufflantes","soufflante"
"souffle","souffleur"
"souffler","soufflage"
"souffleries","soufflerie"
"souffleuse","souffleur"
"souhaiterai","souhaiterais"
"souligner","soulignant"
"soumissions","soumission"
"soupape","soupapes"
"soupe","soupes"
"souriant","souriante"
"sous-directrice","sous-directeur"
"sous-officiers","sous-officier"
"sous-officière","sous-officier"
"sous-station","sous-stations"
"sous-système","sous-systèmes"
"sous-vêtements","sous-vêtement"
"souscripteurs","souscripteur"
"souscriptrice","souscripteur"
"souscrite","souscrites"
"soutenances","soutenance"
"soutènements","soutènement"
"speakers","speaker"
"specialise","specialisé"
"specialist","spécialist"
"specialite","specialité"
"specialité","spécialité"
"specs","spécs"
"spectrales","spectrale"
"spectres","spectre"
"spectrométries","spectrométrie"
"spectrométrique","spectrométriques"
"spectrophotomètres","spectrophotomètre"
"spectroscopies","spectroscopie"
"spic","spice"
"sponsor","sponsors"
"sponsorings","sponsoring"
"sponsorisée","sponsorisé"
"spontané","spontanés"
"spontanée","spontanées"
"sprinklage","sprinkler"
"sprinklers","sprinkler"
"sprinkleur","sprinkler"
"sprints","sprint"
"spécifiant","spécifier"
"squelettiques","squelettique"
"st-etienne","st-étienne"
"stabilisants","stabilisant"
"stabilisateurs","stabilisateur"
"stabilisées","stabilisée"
"stallergenes","stallergènes"
"standardistes","standardiste"
"stations-service","stations-services"
"statisticienne","statisticien"
"stats","stat"
"statuaire","statuaires"
"statue","statues"
"statutaire","statutaires"
"staubli","staübli"
"steaks","steak"
"stelia","stélia"
"stereo","stéréo"
"steria","stéria"
"sticks","stick"
"stimulante","stimulant"
"stochastique","stochastiques"
"stocké","stockés"
"stockée","stocké"
"strate","straté"
"strict","strictes"
"stricte","strictes"
"stricts","strict"
"structurales","structurale"
"stylo","stylos"
"stérile","stériles"
"stérilisateur","stérilisateurs"
"stérilisé","stérilisés"
"stéréoscopique","stéréoscopiques"
"subdivisions","subdivision"
"submersible","submersibles"
"subordonné","subordonnés"
"subrogations","subrogation"
"substantielle","substantielles"
"substitut","substituts"
"substitute","substitut"
"substrats","substrat"
"subvention","subventions"
"succursale","succursales"
"sucreries","sucrerie"
"sucres","sucrés"
"sucrières","sucrière"
"sucré","sucrée"
"sucrée","sucrés"
"sucrées","sucrée"
"sud-américaines","sud-américaine"
"suede","suéde"
"suggestion","suggestions"
"suiveurs","suiveur"
"suiveuse","suiveuses"
"sulfates","sulfate"
"sulfure","sulfuré"
"sulfuriques","sulfurique"
"sulfuré","sulfures"
"supelec","supélec"
"superficielle","superficielles"
"superieur","supérieur"
"superieure","supérieure"
"superintendants","superintendant"
"superstructures","superstructure"
"suppliers","supplier"
"suppléments","supplément"
"supplétives","supplétive"
"supportées","supportée"
"supraconducteur","supraconducteurs"
"surchauffes","surchauffe"
"surchauffeur","surchauffe"
"surcoût","surcoûts"
"surcroit","surcroît"
"surdosages","surdosage"
"surfeur","surfeurs"
"surgeles","surgelés"
"surgelé","surgelés"
"surgelée","surgelées"
"surgelées","surgelés"
"surmonté","surmonter"
"surpresseur","surpresseurs"
"surveillante","surveillant"
"survenue","survenues"
"susceptible","susceptibles"
"suse","sus"
"suspendu","suspendus"
"suspicions","suspicion"
"suéde","suède"
"symposiums","symposium"
"synchrones","synchrone"
"synchronisés","synchronisé"
"syndical","syndicales"
"syndicale","syndicales"
"syndicaux","syndical"
"syndics","syndic"
"syndiqués","syndiqué"
"syndromes","syndrome"
"synonymes","synonyme"
"synthelabo","synthélabo"
"synthétiseurs","synthétiseur"
"synthétisé","synthétisés"
"syrien","syrienne"
"système","systèmes"
"systématisation","systématiser"
"séchée","séchées"
"sédimentaires","sédimentaire"
"séismes","séisme"
"sélections","sélection"
"séminaire","séminaires"
"sénateur","sénateurs"
"sénégalaise","sénégalais"
"séparateur","séparateurs"
"séparer","séparateur"
"sérums","sérum"
"sévère","sévères"
"sûrs","sûr"
"tableau","tableaux"
"tableurs","tableur"
"taches","tâches"
"tai","taï"
"tailleurs","tailleur"
"tailleuse","tailleur"
"taishan","taïshan"
"taiwan","taïwan"
"talent","talents"
"taleo","taléo"
"tambours","tambour"
"tangentiel","tangentielle"
"tanker","tankers"
"tapissière","tapissier"
"tarte","tartes"
"tassements","tassement"
"taxe","taxes"
"tchèques","tchèque"
"teasers","teaser"
"technicienne","technicien"
"technopole","technopôle"
"tefal","téfal"
"teflon","téflon"
"teinturière","teinturier"
"teleperformance","téléperformance"
"televisions","télévisions"
"temporel","temporelle"
"temporelle","temporelles"
"tempêtes","tempête"
"tenders","tender"
"tendus","tendu"
"teneurs","teneur"
"tentative","tentatives"
"tentures","tenture"
"terminales","terminale"
"termite","termites"
"terrassements","terrassement"
"terrine","terrines"
"terroirs","terroir"
"terroristes","terroriste"
"tertiaires","tertiaire"
"test","tests"
"testeuse","testeur"
"testosterone","testostérone"
"tetras","tétras"
"teva","téva"
"thai","thaï"
"thales","thalès"
"thaïlandais","thaïlandaise"
"themis","thémis"
"theramex","théramex"
"thermiques","thermique"
"thermostats","thermostat"
"thrillers","thriller"
"thérapies","thérapie"
"thés","thé"
"théâtrales","théâtrale"
"tifs","tif"
"till","tille"
"timings","timing"
"timonière","timonier"
"tires","tirés"
"tireur","tireuse"
"tiroirs","tiroir"
"tirés","tiré"
"tisseo","tisséo"
"tisserande","tisserand"
"tisseur","tisseuse"
"tissues","tissue"
"tissés","tissé"
"toboggans","toboggan"
"toiletteuse","toiletteur"
"tolérant","tolérante"
"tomate","tomates"
"tombe","tombé"
"tonnages","tonnage"
"tonneaux","tonneau"
"tonnelière","tonnelier"
"topiques","topique"
"topologies","topologie"
"toques","toque"
"torches","torche"
"torpilles","torpille"
"tourneuse","tourneur"
"tournois","tournoi"
"toxicologiques","toxicologique"
"toxine","toxines"
"traceuse","traceur"
"tract","tracts"
"traducteur","traductrice"
"trams","tram"
"tramways","tramway"
"transatlantiques","transatlantique"
"transbordeurs","transbordeur"
"transférées","transférée"
"transgénique","transgéniques"
"transistor","transistors"
"transitaire","transitaires"
"transitoires","transitoire"
"transnationale","transnational"
"transporteuse","transporteuses"
"traversants","traversant"
"traverses","traverse"
"travée","travées"
"treks","trek"
"trempe","trempé"
"trempeur","trempeuse"
"tresor","trésor"
"trials","trial"
"tribunaux","tribunal"
"tricolores","tricolore"
"tricoter","tricotage"
"tridimensionnels","tridimensionnel"
"trieuse","trieur"
"triggers","trigger"
"trimestres","trimestre"
"trimestriel","trimestriels"
"trimestrielle","trimestriel"
"trimestrielles","trimestriels"
"tripartites","tripartite"
"triphasée","triphasé"
"triphasés","triphasé"
"trips","trip"
"trolley","trolleys"
"tronçons","tronçon"
"trophées","trophée"
"tropicale","tropicales"
"trottoir","trottoirs"
"trucage","trucages"
"truffes","truffe"
"trésoreries","trésorerie"
"trésorière","trésorier"
"tuile","tuiles"
"tuilerie","tuileries"
"tumeur","tumeurs"
"tumorale","tumorales"
"turbocompresseurs","turbocompresseur"
"turboréacteur","turboréacteurs"
"turbulences","turbulence"
"turbulent","turbulents"
"tutorats","tutorat"
"tuyauteries","tuyauterie"
"tuyauteuse","tuyauteur"
"tuyères","tuyère"
"télécabines","télécabine"
"téléchargements","téléchargement"
"télécharger","téléchargement"
"téléconférence","téléconférences"
"téléfilms","téléfilm"
"télématiques","télématique"
"télémètres","télémètre"
"téléphériques","téléphérique"
"télésièges","télésiège"
"téléskis","téléski"
"télévendeur","télévendeuse"
"téléventes","télévente"
"télévisé","télévisée"
"télévisés","télévisé"
"ultimes","ultime"
"ultrasonique","ultrasoniques"
"ultraviolet","ultraviolets"
"unifier","unifié"
"unifié","unifiée"
"unifiées","unifiée"
"uniformiser","uniformisation"
"unilatérale","unilatérales"
"universite","université"
"updates","update"
"urbanistes","urbaniste"
"urinaire","urinaires"
"urines","urine"
"usagée","usagées"
"users","user"
"usines","usine"
"usiné","usinés"
"usinée","usinées"
"usinés","usinées"
"usuelle","usuel"
"usuelles","usuel"
"usé","usés"
"usés","usée"
"vacation","vacations"
"vaccin","vaccins"
"vaccine","vaccines"
"valentine","valentin"
"validations","validation"
"vallees","vallées"
"vallons","vallon"
"valorisé","valorisés"
"valorisée","valorisé"
"varennes","varenne"
"variabilités","variabilité"
"variance","variances"
"variante","variantes"
"variateur","variateurs"
"varié","variée"
"variétal","variétale"
"vasculaires","vasculaire"
"vase","vases"
"vectoriels","vectoriel"
"vedior","védior"
"vega","véga"
"vegafruits","végafruits"
"vegan","végan"
"veilles","veille"
"veilleuse","veilleur"
"vendange","vendangeur"
"vendangeur","vendanges"
"vendeuse","vendeur"
"ventilé","ventilée"
"ventilée","ventilées"
"ventouse","ventouses"
"veolia","véolia"
"verbal","verbaux"
